"record","cell","area_mean_3"
"Record_2025-04-16_10-38-00",167,45.05
"Record_2025-04-16_10-38-00",168,43.97
"Record_2025-04-16_10-38-00",169,45.0855172413793
"Record_2025-04-16_10-38-00",170,46.0866666666667
"Record_2025-04-16_10-38-00",171,46.0376923076923
"Record_2025-04-16_10-38-00",172,44.2173333333333
"Record_2025-04-16_10-38-00",173,47.0488461538462
"Record_2025-04-16_10-38-00",174,45.6083333333333
"Record_2025-04-16_10-38-00",175,47.9083333333333
"Record_2025-04-16_10-38-00",176,53.563
"Record_2025-04-16_10-38-00",177,47.0896153846154
"Record_2025-04-16_10-38-00",178,47.0643333333333
"Record_2025-04-16_10-38-00",179,46.5343333333333
"Record_2025-04-16_10-38-00",180,46.3503846153846
"Record_2025-04-16_10-38-00",181,45.6026666666667
"Record_2025-04-16_10-38-00",182,44.2686666666667
"Record_2025-04-16_10-38-00",183,45.4130769230769
"Record_2025-04-16_10-38-00",184,47.4213333333333
"Record_2025-04-16_10-38-00",185,48.382
"Record_2025-04-16_10-38-00",186,46.9096153846154
"Record_2025-04-16_10-38-00",187,49.2896666666667
"Record_2025-04-16_10-38-00",188,47.0834615384615
"Record_2025-04-16_10-38-00",189,45.0411538461538
"Record_2025-04-16_10-38-00",190,47.9234615384615
"Record_2025-04-16_10-38-00",191,45.8593103448276
"Record_2025-04-16_10-38-00",192,45.549
"Record_2025-04-16_10-38-00",193,46.1375862068966
"Record_2025-04-16_10-38-00",194,46.9073333333333
"Record_2025-04-16_10-38-00",195,45.4436666666667
"Record_2025-04-16_10-38-00",196,44.6813333333333
"Record_2025-04-16_10-38-00",197,46.8542307692308
"Record_2025-04-16_10-38-00",198,48.7656666666667
"Record_2025-04-16_10-38-00",199,50.4333333333333
"Record_2025-04-16_10-38-00",200,47.8542307692308
"Record_2025-04-16_10-38-00",201,47.4253333333333
"Record_2025-04-16_10-38-00",202,47.888
"Record_2025-04-16_10-38-00",203,47.4996666666667
"Record_2025-04-16_10-38-00",204,46.0746153846154
"Record_2025-04-16_10-38-00",205,47.3684615384615
"Record_2025-04-16_10-38-00",206,47.4519230769231
"Record_2025-04-16_10-38-00",207,48.488
"Record_2025-04-16_10-38-00",208,47.7092307692308
"Record_2025-04-16_10-38-00",209,50.9537931034483
"Record_2025-04-16_10-38-00",210,51.7537931034483
"Record_2025-04-16_10-38-00",211,50.4965384615385
"Record_2025-04-16_10-38-00",212,50.17
"Record_2025-04-16_10-38-00",213,49.4268965517241
"Record_2025-04-16_10-38-00",214,47.801
"Record_2025-04-16_10-38-00",215,52.865
"Record_2025-04-16_10-38-00",216,49.1361538461538
"Record_2025-04-16_10-38-00",217,49.5996153846154
"Record_2025-04-16_10-38-00",218,49.8143333333333
"Record_2025-04-16_10-38-00",219,52.282
"Record_2025-04-16_10-38-00",220,54.2207692307692
"Record_2025-04-16_10-38-00",221,56.92
"Record_2025-04-16_10-38-00",222,50.0430769230769
"Record_2025-04-16_10-38-00",223,48.2611538461538
"Record_2025-04-16_10-38-00",224,47.8966666666667
"Record_2025-04-16_10-38-00",225,47.4683333333333
"Record_2025-04-16_10-38-00",226,53.989
"Record_2025-04-16_10-38-00",227,50.1703333333333
"Record_2025-04-16_10-38-00",228,50.0983333333333
"Record_2025-04-16_10-38-00",229,51.1433333333333
"Record_2025-04-16_10-38-00",230,53.6926923076923
"Record_2025-04-16_10-38-00",231,53.9636666666667
"Record_2025-04-16_10-38-00",232,50.005
"Record_2025-04-16_10-38-00",233,49.1796666666667
"Record_2025-04-16_10-38-00",234,46.9853333333333
"Record_2025-04-16_10-38-00",235,47.5593333333333
"Record_2025-04-16_10-38-00",236,47.1415384615385
"Record_2025-04-16_10-38-00",237,47.9646666666667
"Record_2025-04-16_10-38-00",238,45.4313333333333
"Record_2025-04-16_10-38-00",239,47.278
"Record_2025-04-16_10-38-00",240,47.9642307692308
"Record_2025-04-16_10-38-00",241,51.8553846153846
"Record_2025-04-16_10-38-00",242,51.6086666666667
"Record_2025-04-16_10-38-00",243,49.69
"Record_2025-04-16_10-38-00",244,46.875
"Record_2025-04-16_10-38-00",245,45.7651724137931
"Record_2025-04-16_10-38-00",246,45.9373333333333
"Record_2025-04-16_10-38-00",247,45.881724137931
"Record_2025-04-16_10-38-00",248,46.194
"Record_2025-04-16_10-38-00",249,46.728
"Record_2025-04-16_10-38-00",250,44.4936666666667
"Record_2025-04-16_10-38-00",251,46.1003448275862
"Record_2025-04-16_10-38-00",252,48.7383333333333
"Record_2025-04-16_10-38-00",253,49.8793333333333
"Record_2025-04-16_10-38-00",254,46.931
"Record_2025-04-16_10-38-00",255,47.71
"Record_2025-04-16_10-38-00",256,45.619
"Record_2025-04-16_10-38-00",257,45.7513333333333
"Record_2025-04-16_10-38-00",258,43.4693333333333
"Record_2025-04-16_10-38-00",259,45.1346666666667
"Record_2025-04-16_10-38-00",260,47.76
"Record_2025-04-16_10-38-00",261,45.5096153846154
"Record_2025-04-16_10-38-00",262,44.2538461538462
"Record_2025-04-16_10-38-00",263,47.5846153846154
"Record_2025-04-16_10-38-00",264,48.9092307692308
"Record_2025-04-16_10-38-00",265,46.5680769230769
"Record_2025-04-16_10-38-00",266,44.9743333333333
"Record_2025-04-16_10-38-00",267,44.0226923076923
"Record_2025-04-16_10-38-00",268,45.9953333333333
"Record_2025-04-16_10-38-00",269,45.7665517241379
"Record_2025-04-16_10-38-00",270,44.538
"Record_2025-04-16_10-38-00",271,45.1919230769231
"Record_2025-04-16_10-38-00",272,46.787
"Record_2025-04-16_10-38-00",273,46.928
"Record_2025-04-16_10-38-00",274,48.9063333333333
"Record_2025-04-16_10-38-00",275,49.238
"Record_2025-04-16_10-38-00",276,46.7703333333333
"Record_2025-04-16_10-38-00",277,45.6933333333333
"Record_2025-04-16_10-38-00",278,44.88
"Record_2025-04-16_10-38-00",279,44.1443333333333
"Record_2025-04-16_10-38-00",280,46.6116666666667
"Record_2025-04-16_10-38-00",281,45.4665384615385
"Record_2025-04-16_10-38-00",282,46.394
"Record_2025-04-16_10-38-00",283,43.3723076923077
"Record_2025-04-16_10-38-00",284,45.62
"Record_2025-04-16_10-38-00",285,48.0138461538462
"Record_2025-04-16_10-38-00",286,50.9889655172414
"Record_2025-04-16_10-38-00",287,46.9438461538462
"Record_2025-04-16_10-38-00",288,47.2246153846154
"Record_2025-04-16_10-38-00",289,45.3713793103448
"Record_2025-04-16_10-38-00",290,45.0030769230769
"Record_2025-04-16_10-38-00",291,44.6641379310345
"Record_2025-04-16_10-38-00",292,44.103
"Record_2025-04-16_10-38-00",293,46.0513333333333
"Record_2025-04-16_10-38-00",294,46.147
"Record_2025-04-16_10-38-00",295,46.0506896551724
"Record_2025-04-16_10-38-00",296,46.4703333333333
"Record_2025-04-16_10-38-00",297,49.3713333333333
"Record_2025-04-16_10-38-00",298,45.5676923076923
"Record_2025-04-16_10-38-00",299,47.2886666666667
"Record_2025-04-16_10-38-00",300,44.76
"Record_2025-04-16_10-38-00",301,45.9116666666667
"Record_2025-04-16_10-38-00",302,47.3915384615385
"Record_2025-04-16_10-38-00",303,43.8273333333333
"Record_2025-04-16_10-38-00",304,46.5107692307692
"Record_2025-04-16_10-38-00",305,45.4361538461538
"Record_2025-04-16_10-38-00",306,46.5738461538462
"Record_2025-04-16_10-38-00",307,47.0092307692308
"Record_2025-04-16_10-38-00",308,51.2066666666667
"Record_2025-04-16_10-38-00",309,49.0083333333333
"Record_2025-04-16_10-38-00",310,47.1686666666667
"Record_2025-04-16_10-38-00",311,44.3093333333333
"Record_2025-04-16_10-38-00",312,46.5061538461538
"Record_2025-04-16_10-38-00",313,47.0176923076923
"Record_2025-04-16_10-38-00",314,43.8996153846154
"Record_2025-04-16_10-38-00",315,43.5938461538462
"Record_2025-04-16_10-38-00",316,47.0768965517241
"Record_2025-04-16_10-38-00",317,46.085
"Record_2025-04-16_10-38-00",318,45.8166666666667
"Record_2025-04-16_10-38-00",319,48.7113333333333
"Record_2025-04-16_10-38-00",320,46.3872413793103
"Record_2025-04-16_10-38-00",321,44.8803846153846
"Record_2025-04-16_10-38-00",322,46.4303448275862
"Record_2025-04-16_10-38-00",323,45.2066666666667
"Record_2025-04-16_10-38-00",324,45.4168965517241
"Record_2025-04-16_10-38-00",325,47.3255172413793
"Record_2025-04-16_10-38-00",326,46.791
"Record_2025-04-16_10-38-00",327,46.325
"Record_2025-04-16_10-38-00",328,46.1563333333333
"Record_2025-04-16_10-38-00",329,47.363
"Record_2025-04-16_10-38-00",330,48.7707692307692
"Record_2025-04-16_10-38-00",331,48.5576923076923
"Record_2025-04-16_10-38-00",332,48.0038461538462
"Record_2025-04-16_10-38-00",333,46.0211538461538
"Record_2025-04-16_10-38-00",334,44.0826923076923
"Record_2025-04-16_10-38-00",335,46.825
"Record_2025-04-16_10-38-00",336,46.67
"Record_2025-04-16_10-38-00",337,44.6196666666667
"Record_2025-04-16_10-38-00",338,46.2223076923077
"Record_2025-04-16_10-38-00",339,46.7476923076923
"Record_2025-04-16_10-38-00",340,45.8393333333333
"Record_2025-04-16_10-38-00",341,50.7213333333333
"Record_2025-04-16_10-38-00",342,46.362
"Record_2025-04-16_10-38-00",343,46.2716666666667
"Record_2025-04-16_10-38-00",344,46.0488461538462
"Record_2025-04-16_10-38-00",345,47.1893333333333
"Record_2025-04-16_10-38-00",346,46.9133333333333
"Record_2025-04-16_10-38-00",347,46.1465384615385
"Record_2025-04-16_10-38-00",348,44.0037931034483
"Record_2025-04-16_10-38-00",349,44.8238461538462
"Record_2025-04-16_10-38-00",350,46.309
"Record_2025-04-16_10-38-00",351,46.845
"Record_2025-04-16_10-38-00",352,52.105
"Record_2025-04-16_10-38-00",353,46.1123076923077
"Record_2025-04-16_10-38-00",354,47.889
"Record_2025-04-16_10-38-00",355,45.013
"Record_2025-04-16_10-38-00",356,46.753
"Record_2025-04-16_10-38-00",357,46.5903846153846
