"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
189,0,10.474,45.947,0,0.015,0.015,0,0,0,796,3492,0,0,0,0,NA
190,1.285,0,0,4.251,1.508,1.085,13.32,0.894,1.62,862,3542,20.937,1.092,1.389,0.72,0.994
191,0,15.513,45.697,0,0.015,0.015,0,0,0,1179,3473,0,0,0,0,NA
192,1.38,0,0,4.487,1.75,1.004,25.284,0.861,1.837,1174,3569,24.546,1.04,1.744,0.574,0.999
193,2.426,0,0,5.723,2.061,1.498,125.659,0.931,2.168,1420,3333,133.771,1.552,1.376,0.727,1
194,1.351,0,0,4.514,1.77,0.971,6.057,0.833,1.887,1748,3464,4.399,1,1.822,0.549,1
195,0,25.368,45.447,0,0.015,0.015,0,0,0,1928,3454,0,0,0,0,NA
196,0,27.618,45.447,0,0.015,0.015,0,0,0,2099,3454,0,0,0,0,NA
197,1.101,0,0,4.164,1.68,0.835,33.102,0.798,1.742,2156,3533,31.409,0.874,2.012,0.497,0.995
198,0,31.868,45.447,0,0.015,0.015,0,0,0,2422,3454,0,0,0,0,NA
199,0,8.053,48,0,0.015,0.015,0,0,0,612,3648,0,0,0,0,NA
200,1.853,0,0,5.414,2.149,1.098,10.677,0.794,2.323,594,3705,9.782,1.142,1.958,0.511,1
201,0,13.408,48.5,0,0.015,0.015,0,0,0,1019,3686,0,0,0,0,NA
202,0,15.461,48.5,0,0.015,0.015,0,0,0,1175,3686,0,0,0,0,NA
203,1.368,0,0,4.453,1.658,1.05,57.37,0.867,1.792,1281,3833,57.593,1.122,1.579,0.633,0.994
204,2.206,0,0,5.711,2.123,1.323,96.576,0.85,2.222,1521,3507,95.778,1.355,1.605,0.623,0.994
205,1.255,0,0,4.503,1.838,0.869,8.461,0.778,1.948,1755,3671,11.689,0.885,2.114,0.473,0.999
206,0,25.434,47.895,0,0.015,0.015,0,0,0,1933,3640,0,0,0,0,NA
207,1.859,0,0,5.341,2.082,1.137,120.393,0.819,2.232,2115,3684,121.253,1.19,1.832,0.546,0.994
208,1.133,0,0,4.297,1.78,0.81,88.515,0.771,1.842,2262,3653,90.409,0.816,2.198,0.455,0.998
209,0,31.934,47.684,0,0.015,0.015,0,0,0,2427,3624,0,0,0,0,NA
210,0,8.263,50.632,0,0.015,0.015,0,0,0,628,3848,0,0,0,0,NA
211,0,10.737,50.737,0,0.015,0.015,0,0,0,816,3856,0,0,0,0,NA
212,0,13.263,50.737,0,0.015,0.015,0,0,0,1008,3856,0,0,0,0,NA
213,0,15.421,50.947,0,0.015,0.015,0,0,0,1172,3872,0,0,0,0,NA
214,0,17.579,50.737,0,0.015,0.015,0,0,0,1336,3856,0,0,0,0,NA
215,0,20.737,50.579,0,0.015,0.015,0,0,0,1576,3844,0,0,0,0,NA
216,0,22.895,50.526,0,0.015,0.015,0,0,0,1740,3840,0,0,0,0,NA
217,0,25.474,50.368,0,0.015,0.015,0,0,0,1936,3828,0,0,0,0,NA
218,0,27.632,50.368,0,0.015,0.015,0,0,0,2100,3828,0,0,0,0,NA
219,0,30.105,50.316,0,0.015,0.015,0,0,0,2288,3824,0,0,0,0,NA
220,0,32.316,49.947,0,0.015,0.015,0,0,0,2456,3796,0,0,0,0,NA
221,0,8.523,1.157,0,0.015,0.015,0,0,0,648,88,0,0,0,0,NA
222,0,11.312,1.21,0,0.015,0.015,0,0,0,860,92,0,0,0,0,NA
223,0,13.522,1,0,0.015,0.015,0,0,0,1028,76,0,0,0,0,NA
224,0,15.784,0.789,0,0.015,0.015,0,0,0,1200,60,0,0,0,0,NA
