"cell","R","G","B","sum_rgb","green_ratio","excess_green","G_minus_R","G_minus_B"
205,116.267,110.923,100.244,327.434,0.338764453294404,5.33500000000001,-5.34399999999999,10.679
207,108.484,106.357,94.128,308.969,0.34423194559972,10.102,-2.127,12.229
208,114.352,110.454,102.367,327.173,0.337601207923637,4.18899999999998,-3.89800000000001,8.08699999999999
233,57.987,60.798,46.749,165.534,0.367284062488673,16.86,2.811,14.049
234,64.477,63.167,56.807,184.451,0.342459514993142,5.05,-1.31,6.36
235,65.009,61.88,52.222,179.111,0.345484085287894,6.529,-3.129,9.658
236,56.776,54.881,50.895,162.552,0.337621191987795,2.09099999999999,-1.895,3.986
237,65.697,56.167,57.378,179.242,0.313358476249986,-10.741,-9.53,-1.211
239,61.886,58.758,57.714,178.358,0.329438544948923,-2.084,-3.128,1.044
240,89.902,91.177,76.524,257.603,0.353943859349464,15.928,1.27500000000001,14.653
244,63.755,62.34,54.724,180.819,0.344764654156919,6.20100000000001,-1.415,7.61600000000001
245,74.741,74.103,60.561,209.405,0.35387407177479,12.904,-0.638000000000005,13.542
246,82.149,80.152,66.979,229.28,0.349581297976274,11.176,-1.997,13.173
248,68.701,63.445,62.298,194.444,0.326289317232725,-4.10899999999999,-5.25599999999999,1.147
251,78.444,77.672,69.1,225.216,0.344877806194942,7.8,-0.772000000000006,8.572
252,72.093,65.81,63.36,201.263,0.326985089161942,-3.833,-6.283,2.45
255,75.226,68.48,63.786,207.492,0.330036820696702,-2.05199999999999,-6.746,4.694
256,71.534,70.665,57.285,199.484,0.354238936456057,12.511,-0.869,13.38
257,81.461,81.487,71.41,234.358,0.347703086730558,10.103,0.0259999999999962,10.077
260,73.747,71.808,63.811,209.366,0.342978325038449,6.05800000000001,-1.93899999999999,7.99700000000001
263,81.409,73.314,70.759,225.482,0.32514347043223,-5.54000000000002,-8.09500000000001,2.55499999999999
268,87.4,87.898,79.664,254.962,0.344749413638111,8.73199999999999,0.49799999999999,8.234
269,70.532,69.509,66.425,206.466,0.336660757703448,2.06100000000001,-1.023,3.084
270,61.467,59.645,53.08,174.192,0.342409525121705,4.74300000000001,-1.822,6.565
271,69.894,70.468,56.435,196.797,0.358074564144779,14.607,0.573999999999998,14.033
272,70.959,68.53,61.34,200.829,0.341235578527006,4.761,-2.429,7.19
273,81.831,72.115,68.677,222.623,0.323933286318125,-6.27800000000002,-9.71600000000001,3.43799999999999
280,87.035,80.73,63.306,231.071,0.349373136395307,11.119,-6.30499999999999,17.424
281,72.201,72.542,62.08,206.823,0.350744356285326,10.803,0.341000000000008,10.462
282,78.892,73.265,70.892,223.049,0.328470425780882,-3.25399999999999,-5.627,2.373
284,84.008,80.229,76.345,240.582,0.33347881387635,0.105000000000004,-3.779,3.884
285,75.303,73.342,64.975,213.62,0.343329276284992,6.40600000000001,-1.961,8.367
288,88.572,84.49,69.31,242.372,0.348596372518278,11.098,-4.08200000000001,15.18
292,80.774,76.337,68.769,225.88,0.33795378076855,3.131,-4.437,7.568
293,71.153,69.196,60.957,201.306,0.34373540778715,6.28199999999999,-1.95700000000001,8.239
294,99.23,95.544,86.393,281.167,0.339812282380222,5.46499999999999,-3.68600000000001,9.151
296,76.641,73.016,66.908,216.565,0.337155126636345,2.483,-3.625,6.108
299,93.995,82.746,72.363,249.104,0.332174513456227,-0.866000000000014,-11.249,10.383
301,93.346,94.307,89.574,277.227,0.340179708325668,5.694,0.960999999999999,4.733
302,83.7,80.335,71.383,235.418,0.341244084989253,5.58699999999999,-3.36500000000001,8.952
304,78.297,73.064,69.984,221.345,0.330091034358129,-2.15300000000001,-5.233,3.08
305,90.867,86.052,75.098,252.017,0.341453155937893,6.13900000000001,-4.815,10.954
306,90.832,87.915,78.78,257.527,0.341381680367495,6.21800000000002,-2.91699999999999,9.135
307,88.523,92.295,73.668,254.486,0.362672209866162,22.399,3.77200000000001,18.627
310,90.261,87.147,72.82,250.228,0.348270377415797,11.213,-3.11399999999999,14.327
312,93.748,91.154,82.835,267.737,0.340460974762547,5.72499999999999,-2.59400000000001,8.319
313,82.713,80.923,66.124,229.76,0.352206650417827,13.009,-1.78999999999999,14.799
316,92.077,89.617,69.171,250.865,0.35723197735834,17.986,-2.45999999999999,20.446
317,94.315,86.754,78.712,259.781,0.33395051986096,0.481000000000009,-7.56099999999999,8.042
325,80.947,80.104,73.272,234.323,0.341852912432838,5.98899999999999,-0.843000000000004,6.83199999999999
326,89.387,86.577,76.793,252.757,0.342530572842691,6.97399999999999,-2.81,9.78399999999999
327,96.816,96.4,68.796,262.012,0.367922079904737,27.188,-0.415999999999997,27.604
328,92.681,89.806,81.081,263.568,0.340731803557336,5.84999999999999,-2.875,8.72499999999999
329,87.013,85.22,74.707,246.94,0.345104073864097,8.72,-1.79300000000001,10.513
332,82.671,79.975,70.505,233.151,0.343018044100175,6.77399999999999,-2.69600000000001,9.47
335,75.006,69.703,61.051,205.76,0.338758748055988,3.349,-5.303,8.652
336,80.791,78.486,64.135,223.412,0.351306107102573,12.046,-2.30499999999999,14.351
338,105.689,101.449,91.588,298.726,0.339605524795297,5.62100000000001,-4.24,9.861
339,104.317,96.793,84.533,285.643,0.338860045581373,4.73600000000002,-7.52399999999999,12.26
345,87.358,88.841,74.97,251.169,0.353710051797793,15.354,1.48299999999999,13.871
346,79.92,81.357,75.94,237.217,0.34296445870237,6.854,1.437,5.417
347,90.626,85.719,55.684,232.029,0.369432269242207,25.128,-4.90700000000001,30.035
354,89.401,84.466,72.641,246.508,0.342650137115225,6.88999999999999,-4.935,11.825
356,92.34,89.933,75.579,257.852,0.348777593348122,11.947,-2.407,14.354
357,98.619,94.578,76.809,270.006,0.350281104864336,13.728,-4.041,17.769
358,89.25,80.13,77.822,247.202,0.324147862881368,-6.81200000000001,-9.12,2.30799999999999
359,106.948,99.069,79.227,285.244,0.347313177490149,11.963,-7.87899999999999,19.842
360,96.536,94.241,84.263,275.04,0.342644706224549,7.68299999999999,-2.295,9.978
366,100.352,88.708,76.67,265.73,0.333827569337297,0.393999999999991,-11.644,12.038
367,98.261,95.327,76.204,269.792,0.353335161902503,16.189,-2.934,19.123
368,98.196,94.158,71.67,264.024,0.3566266703027,18.45,-4.038,22.488
370,102.403,92.515,82.149,277.067,0.333908404826269,0.477999999999994,-9.888,10.366
373,93.344,91.501,83.901,268.746,0.340473904727884,5.75700000000002,-1.84299999999999,7.60000000000001
377,97.662,86.287,84.698,268.647,0.321191005296914,-9.78599999999999,-11.375,1.58900000000001
378,96.444,91.08,76.164,263.688,0.345408209702376,9.55199999999999,-5.364,14.916
381,85.387,79.989,70.828,236.204,0.338643714755042,3.763,-5.398,9.161
383,92.493,84.119,71.102,247.714,0.339581129851361,4.643,-8.374,13.017
391,94.299,89.041,77.299,260.639,0.341625773579549,6.48399999999998,-5.25800000000001,11.742
392,93.298,73.578,71.314,238.19,0.308904655946933,-17.456,-19.72,2.26400000000001
394,101.353,93.48,91.57,286.403,0.326393229121203,-5.96299999999998,-7.87299999999999,1.91000000000001
395,95.288,88.993,79.314,263.595,0.337612625429162,3.384,-6.295,9.679
398,89.629,85.235,74.247,249.111,0.342156709258122,6.59399999999999,-4.39400000000001,10.988
401,94.751,87.922,78.788,261.461,0.336271948780124,2.30499999999999,-6.82900000000001,9.134
406,93.018,86.29,78.44,257.748,0.334784363021246,1.12200000000001,-6.728,7.85000000000001
411,102.209,97.448,75.438,275.095,0.354233991893709,17.249,-4.76100000000001,22.01
412,84.094,76.874,72.794,233.762,0.328855844833634,-3.14,-7.22,4.08
422,88.865,83.61,75.297,247.772,0.3374473306104,3.05800000000001,-5.255,8.313
427,83.55,82.539,75.483,241.572,0.341674531816601,6.045,-1.011,7.056
