tray,row,col,cell,notes,si,site,individual,id,d23T,d23C,d22T,d22C,d21T,d21C,d20T,d20C,d19T,d19C,d18T,d18C,d17T,d17C,d16T,d16C,d15T,d15C,d14T,d14C,dx,dx
1,12,2,123,,S14I6,14,6,4918,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,12,3,124,,S15I5,15,5,4919,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,12,4,125,,S13I1,13,1,4920,4,4,4,4,4,4,2,2,2,2,1,1,0,0,0,0,0,0,0,0,,
1,12,5,126,,S14I2,14,2,4921,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,12,6,127,,S1I11,1,11,4922,4,2,4,3,4,2,4,2,4,2,4,1,4,0,4,0,4,0,0,0,,
1,12,7,128,,S1I8,1,8,4923,4,4,4,4,4,4,3,4,2,2,1,1,0,0,0,0,0,0,0,0,,
1,12,8,129,,S15I4,15,4,4924,4,4,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,
1,12,9,130,,S1I2,1,2,4925,4,4,4,4,4,4,4,4,3,3,2,2,0,1,0,0,0,0,0,0,,
1,12,10,131,,S15I2,15,2,4926,4,4,4,4,4,2,4,2,3,2,4,1,4,1,3,1,1,0,0,0,,
1,12,11,132,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13,1,133,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13,2,134,D2,S15I2,15,2,4927,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,3,135,,S1I7,1,7,4928,4,4,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,,
1,13,4,136,D2,S15I2,15,2,4929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,5,137,,S14I6,14,6,4930,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,6,138,,S15I5,15,5,4931,4,4,4,4,4,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,,
1,13,7,139,D2,S1I7,1,7,4932,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,8,140,,S13I2,13,2,4933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,9,141,,S14I6,14,6,4934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,10,142,D2,S15I2,15,2,4935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,13,11,143,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,14,1,144,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,14,2,145,,S1I6,1,6,4936,4,4,4,4,4,4,4,4,4,3,4,1,4,0,2,0,0,0,0,0,,
1,14,3,146,,S15I4,15,4,4937,4,4,4,2,2,2,2,2,1,1,1,1,0,0,1,0,0,0,0,0,,
1,14,4,147,,S1I11,1,11,4938,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,,
1,14,5,148,,S14I6,14,6,4939,4,4,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
1,14,6,149,,S15I5,15,5,4940,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,,
1,14,7,150,,S15I2,15,2,4941,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,0,4,0,0,0,,
1,14,8,151,,S13I1,13,1,4942,4,4,2,2,2,2,2,2,2,2,1,1,1,0,0,0,1,0,0,0,,
1,14,9,152,,S15I4,15,4,4943,4,4,4,2,4,2,4,2,4,1,2,1,1,0,0,0,0,0,0,0,,
1,14,10,153,,S15I2,15,2,4944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,14,11,154,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,15,1,155,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,15,2,156,,S1I8,1,8,4945,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,3,157,D2,S13I1,13,1,4946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,4,158,,S1I11,1,11,4947,4,4,4,4,4,2,4,2,4,1,2,0,2,0,2,0,2,0,0,0,,
1,15,5,159,D2,S13I1,13,1,4948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,6,160,,S14I3,14,3,4949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,7,161,,S1I2,1,2,4950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,8,162,,S15I2,15,2,4951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,9,163,,S1I8,1,8,4952,4,4,4,4,4,4,4,4,4,4,2,2,1,0,0,0,0,0,0,0,,
1,15,10,164,D2,S15I2,15,2,4953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,15,11,165,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,16,1,166,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,16,2,167,,S13I1,13,1,4954,4,4,4,4,4,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,,
1,16,3,168,,S15I2,15,2,4955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,16,4,169,,S15I4,15,4,4956,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,16,5,170,,S15I2,15,2,4957,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
