"","id","cell","tray","row","col","si","site","individual","d9","d13","family","where","time_to_one","time_to_two","time_to_three","time_to_four","time_to_four_adj","fustat","day_sum","dead_count","experiment"
"104","4975",192,"1","18","5","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"105","4978",195,"1","18","8","S1I11","1","11","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"106","4980",197,"1","18","10","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"107","4981",200,"1","19","2","S13I1","13","1","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"108","4982",201,"1","19","3","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"109","4983",202,"1","19","4","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"110","4984",203,"1","19","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"111","4985",204,"1","19","6","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"112","4986",205,"1","19","7","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"113","4987",206,"1","19","8","S14I2","14","2","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"114","4988",207,"1","19","9","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"115","4989",208,"1","19","10","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"116","4990",233,"2","2","2","S1I11","1","11","5","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,3,0,20250922
"117","4991",234,"2","2","3","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"118","4992",235,"2","2","4","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"119","4993",236,"2","2","5","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"120","4994",237,"2","2","6","S1I7","1","7","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"121","4995",238,"2","2","7","S14I1","14","1","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"122","4996",239,"2","2","8","S14I3","14","3","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"123","4997",240,"2","2","9","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"124","5000",245,"2","3","3","S14I1","14","1","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"125","5001",246,"2","3","4","S1I6","1","6","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
